timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
18258158,0.26766872,0.00036378426,-0.004347173,0.96350116,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18310153,0.26901183,0.0005653943,-0.0066619418,0.96311367,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18362188,0.26982242,0.00036440062,-0.007683416,0.9628794,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18414943,0.2711544,-0.00011847485,-0.006710904,0.96251243,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18466943,0.2707852,-0.00021955723,-0.0063026827,0.9626191,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18518943,0.26874426,0.0008081396,-0.006801685,0.9631873,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18570943,0.26838237,0.0004707029,-0.0062366556,0.96329224,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18622943,0.26757568,-0.000362456,-0.006364201,0.9635158,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18674943,0.26943138,4.2009975e-05,-0.0038776998,0.96301186,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18726955,0.27210498,-0.00026825583,-0.0066224267,0.96224475,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18778943,0.26827285,-0.00044440318,-0.009784902,0.9632932,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18830943,0.26561493,-0.0009612635,-0.007524572,0.9640494,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18882969,0.2711001,-0.000828493,-0.0038445361,0.96254313,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18934943,0.26922634,-0.00012167233,-0.004515749,0.9630664,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18986943,0.26627705,0.0006025217,-0.009058687,0.9638538,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19038943,0.26680806,0.0018267732,-0.00807886,0.9637141,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19091743,0.26931366,0.000101880134,-0.008118598,0.9630183,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19143743,0.26554886,0.00094132836,-0.007135252,0.9640706,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19195743,0.27008903,-0.00028556812,-0.0067844046,0.96281147,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19247746,0.2711134,0.0006955867,-0.0072237435,0.96252006,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19299743,0.2658187,0.00043334055,-0.009453182,0.9639766,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19351746,0.26661837,0.0006747568,-0.009154849,0.96375847,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19403743,0.26554024,0.00097430387,-0.0052134404,0.9640852,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19455747,0.2705511,0.000164762,-0.004254377,0.96269625,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19507743,0.26946956,0.00091534905,-0.006019069,0.96298975,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19559743,0.2691698,0.00039596224,-0.009428346,0.96304655,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19612543,0.27187353,-0.00036738152,-0.009222705,0.9622888,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19664549,0.27118903,0.00020605518,-0.007421468,0.9624975,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19716543,0.2715043,-4.4859135e-05,-0.0057916124,0.96241987,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19768543,0.27204517,0.0017773765,-0.0055295536,0.962267,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19821377,0.2709785,0.0003790517,-0.0051802746,0.96257144,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19873396,0.27228484,0.0012442601,-0.0057242145,0.9621989,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19925426,0.27541804,-0.00088433735,-0.0060553746,0.96130514,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
19977377,0.2742874,-0.00034379595,-0.0070896833,0.9616216,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20029395,0.27516323,-0.0005757973,-0.008045788,0.9613638,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20081377,0.27603212,8.393873e-05,-0.0073014335,0.9611207,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20133377,0.27637377,0.0005156225,-0.005783847,0.96103275,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20185441,0.2801909,-7.1567236e-05,-0.004834164,0.9599321,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20237377,0.2826452,-0.00048440383,-0.0054565542,0.95920897,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20289395,0.28459415,-0.0008280477,-0.00752058,0.9586182,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20341390,0.2877027,-0.0009675131,-0.0074035535,0.9576907,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20393377,0.29113662,-0.0005571205,-0.00559948,0.956665,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20445451,0.29266834,-0.0008935348,-0.0050792834,0.9562002,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20497377,0.29577616,-0.00013193305,-0.004197882,0.95524806,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20549402,0.29852855,-0.00050918653,-0.0044145486,0.95439047,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20601377,0.30075574,-0.0012864931,-0.0063310973,0.9536793,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20653420,0.30305913,-0.0017142242,-0.006358246,0.95294905,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20706143,0.3051421,-0.0015802608,-0.006146269,0.9522857,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20758143,0.30605385,-0.0011068855,-0.00588229,0.9519954,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20810149,0.30795768,-0.0010095543,-0.0053271693,0.9513846,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20862143,0.30969912,-0.00096057804,-0.0051751016,0.95082,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20914143,0.3112176,-0.0014690439,-0.0064319107,0.9503158,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
20966150,0.31200063,-0.001933019,-0.007767795,0.95004815,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21018143,0.31535167,-0.0023026965,-0.0075767543,0.9489418,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21070143,0.31427014,-0.0020304464,-0.0067673284,0.9493074,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21122943,0.3160405,-0.0030512735,-0.0071151354,0.9487142,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21174943,0.31792754,-0.002527488,-0.0049455445,0.94809884,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21226946,0.3147331,-0.0031581656,-0.006378056,0.94915354,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21278943,0.3152475,-0.0017866347,-0.004957772,0.9489949,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21330943,0.31886372,-0.0020339862,-0.005186372,0.94778425,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21382943,0.31482032,-0.0018706536,-0.0057932716,0.9491318,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21434943,0.31959125,-0.0024232354,-0.0053194407,0.94753754,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21486956,0.31646878,-0.0022918251,-0.0071245898,0.94857347,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21538946,0.3175378,-0.0030405496,-0.0075917807,0.94821036,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21590943,0.3156282,-0.00350278,-0.007197285,0.94884926,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21642943,0.3141956,-0.0028033627,-0.004151788,0.94934505,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21694980,0.3202874,-0.0027062406,-0.003548093,0.9473099,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21746943,0.31577134,-0.0019577376,-0.0056226477,0.9488167,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21798963,0.3169588,-0.0025992463,-0.008098249,0.94840115,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21847743,0.3194788,-0.0030204037,-0.006355935,0.94756734,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21903743,0.31913406,-0.0029596107,-0.005974042,0.9476862,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
21955745,0.3205449,-0.0025983255,-0.0045172377,0.9472191,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
22007743,0.32027674,-0.0016760406,-0.0053207604,0.94730765,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
22059746,0.32049596,-0.0017653352,-0.0054383157,0.94723266,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
22111743,0.32104325,-0.001572314,-0.0051946244,0.94704896,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
22163743,0.32461497,-0.002574907,-0.0058097066,0.94582486,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
22215788,0.32411277,-0.002633807,-0.0060576075,0.94599545,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
22267743,0.32472688,-0.0023060371,-0.0064495676,0.945783,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
22319762,0.32530925,-0.0022624389,-0.0059160846,0.9455865,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
22372543,0.32567295,-0.0020571782,-0.005276736,0.9454656,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
22424543,0.32965747,-0.0028117958,-0.00509252,0.9440827,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
22476550,0.32636788,-0.0025433616,-0.0071554133,0.9452123,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
22528543,0.3299132,-0.0031362418,-0.0071302885,0.9439792,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
22580543,0.329673,-0.0026904738,-0.0072634374,0.9440634,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
22632543,0.32883167,-0.0030073435,-0.006782648,0.9443594,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
22684543,0.33202583,-0.0024678698,-0.005774887,0.9432494,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
