timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
75071898,0.0,0.0,0.0,0.0
75275078,0.0,0.0,0.0,0.0
75479099,0.0,0.0,0.0,0.0
75680684,0.0,0.0,0.0,0.0
75884703,0.0,0.0,0.0,0.0
76088686,0.0,0.0,0.0,0.0
76289478,0.0,0.0,0.0,0.0
76493481,0.0,0.0,0.0,0.0
76697476,0.0,0.0,0.0,0.0
76898285,0.0,0.0,0.0,0.0
77098288,0.0,0.0,0.0,0.0
77299113,0.0,0.0,0.0,0.0
77501492,0.0,0.0,0.0,0.0
77704691,0.0,0.0,0.0,0.0
77907085,0.0,0.0,0.0,0.0
78110291,0.0,0.0,0.0,0.0
78313478,0.0,0.0,0.0,0.0
78516695,0.0,0.0,0.0,0.0
78716711,0.0,0.0,0.0,0.0
78919881,0.0,0.0,0.0,0.0
79121518,0.0,0.0,0.0,0.0
79324664,0.0,0.0,0.0,0.0
79526279,0.0,0.0,0.0,0.0
79726283,0.0,0.0,0.0,0.0
79930303,0.0,0.0,0.0,0.0
80135085,0.0,0.0,0.0,0.0
80337478,0.0,0.0,0.0,0.0
80539076,0.0,0.0,0.0,0.0
80743078,0.0,0.0,0.0,0.0
80946277,0.0,0.0,0.0,0.0
81147889,0.0,0.0,0.0,0.0
81352684,0.0,0.0,0.0,0.0
81552686,0.0,0.0,0.0,0.0
81753637,0.0,0.0,0.0,0.0
81956710,0.0,0.0,0.0,0.0
82161519,0.0,0.0,0.0,0.0
82362281,0.0,0.0,0.0,0.0
82565531,0.0,0.0,0.0,0.0
82766298,0.0,0.0,0.0,0.0
82968687,0.0,0.0,0.0,0.0
83172683,0.0,0.0,0.0,0.0
83375086,0.0,0.0,0.0,0.0
83575879,0.0,0.0,0.0,0.0
83775864,0.0,0.0,0.0,0.0
83979880,0.0,0.0,0.0,0.0
84184677,0.0,0.0,0.0,0.0
84385529,0.0,0.0,0.0,0.0
84588671,0.0,0.0,0.0,0.0
84793484,0.0,0.0,0.0,0.0
84995101,0.0,0.0,0.0,0.0
85197484,0.0,0.0,0.0,0.0
85401464,0.0,0.0,0.0,0.0
85603081,0.0,0.0,0.0,0.0
85807102,0.0,0.0,0.0,0.0
86011258,0.0,0.0,0.0,0.0
86211888,0.0,0.0,0.0,0.0
86415881,0.0,0.0,0.0,0.0
86619877,0.0,0.0,0.0,0.0
86820716,0.0,0.0,0.0,0.0
87024664,0.0,0.0,0.0,0.0
87228698,0.0,0.0,0.0,0.0
87431088,0.0,0.0,0.0,0.0
87633506,0.0,0.0,0.0,0.0
87836724,0.0,0.0,0.0,0.0
88037480,0.0,0.0,0.0,0.0
88238276,0.0,0.0,0.0,0.0
88439085,0.0,0.0,0.0,0.0
88642300,0.0,0.0,0.0,0.0
88842273,0.0,0.0,0.0,0.0
89043946,0.0,0.0,0.0,0.0
89247086,0.0,0.0,0.0,0.0
89447879,0.0,0.0,0.0,0.0
89648679,0.0,0.0,0.0,0.0
89850279,0.0,0.0,0.0,0.0
90052720,0.0,0.0,0.0,0.0
90255079,0.0,0.0,0.0,0.0
90458322,0.0,0.0,0.0,0.0
90661473,0.0,0.0,0.0,0.0
90861464,0.0,0.0,0.0,0.0
91063077,0.0,0.0,0.0,0.0
91267110,0.0,0.0,0.0,0.0
91469465,0.0,0.0,0.0,0.0
91671879,0.0,0.0,0.0,0.0
91875889,0.0,0.0,0.0,0.0
92075864,0.0,0.0,0.0,0.0
92279091,0.0,0.0,0.0,0.0
92480678,0.0,0.0,0.0,0.0
92684697,0.0,0.0,0.0,0.0
92887873,0.0,0.0,0.0,0.0
93089638,0.0,0.0,0.0,0.0
93293487,0.0,0.0,0.0,0.0
93497480,0.0,0.0,0.0,0.0
93698284,0.0,0.0,0.0,0.0
93903084,0.0,0.0,0.0,0.0
94105634,0.0,0.0,0.0,0.0
94307897,0.0,0.0,0.0,0.0
94511094,0.0,0.0,0.0,0.0
94711091,0.0,0.0,0.0,0.0
94911887,0.0,0.0,0.0,0.0
95112683,0.0,0.0,0.0,0.0
95316684,0.0,0.0,0.0,0.0
95521484,0.0,0.0,0.0,0.0
95721475,0.0,0.0,0.0,0.0
95925477,0.0,0.0,0.0,0.0
96125642,0.0,0.0,0.0,0.0
96328664,0.0,0.0,0.0,0.0
96531092,0.0,0.0,0.0,0.0
96731094,0.0,0.0,0.0,0.0
96933489,0.0,0.0,0.0,0.0
97135887,0.0,0.0,0.0,0.0
97339079,0.0,0.0,0.0,0.0
97539907,0.0,0.0,0.0,0.0
97740686,0.0,0.0,0.0,0.0
97944676,0.0,0.0,0.0,0.0
98148697,0.0,0.0,0.0,0.0
98351907,0.0,0.0,0.0,0.0
98553505,0.0,0.0,0.0,0.0
98757508,0.0,0.0,0.0,0.0
98959889,0.0,0.0,0.0,0.0
99163144,0.0,0.0,0.0,0.0
99367081,0.0,0.0,0.0,0.0
99567079,0.0,0.0,0.0,0.0
99768683,0.0,0.0,0.0,0.0
99971099,0.0,0.0,0.0,0.0
100175088,0.0,0.0,0.0,0.0
100377479,0.0,0.0,0.0,0.0
100580692,0.0,0.0,0.0,0.0
100783877,0.0,0.0,0.0,0.0
100984674,0.0,0.0,0.0,0.0
101185513,0.0,0.0,0.0,0.0
101388725,0.0,0.0,0.0,0.0
101594289,0.0,0.0,0.0,0.0
101794432,0.0,0.0,0.0,0.0
101997484,0.0,0.0,0.0,0.0
102202282,0.0,0.0,0.0,0.0
102402347,0.0,0.0,0.0,0.0
102603079,0.0,0.0,0.0,0.0
102803879,0.0,0.0,0.0,0.0
103003900,0.0,0.0,0.0,0.0
103204678,0.0,0.0,0.0,0.0
103408684,0.0,0.0,0.0,0.0
103611918,0.0,0.0,0.0,0.0
103812677,0.0,0.0,0.0,0.0
104013508,0.0,0.0,0.0,0.0
104216731,0.0,0.0,0.0,0.0
104416685,0.0,0.0,0.0,0.0
104618274,0.0,0.0,0.0,0.0
104823080,0.0,0.0,0.0,0.0
105025519,0.0,0.0,0.0,0.0
105231088,0.0,0.0,0.0,0.0
