timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,arspd_check_level,load_factor_ratio,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,aspd_check_failing,aspd_fault_declared,aspd_use_inhibit,aspd_fail_rtl
123850725,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124852849,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125857321,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126859248,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127866123,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128869079,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129877144,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130885771,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131894830,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
132898574,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133908331,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134918037,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135926691,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136933977,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137938491,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138948233,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
139949244,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140960222,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
141973348,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142974579,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
143975709,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
144977731,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
145988241,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146992230,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147993098,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
148994781,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150000287,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
151009855,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
