timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
76417203,0,1200.0,0.402909,0.033674736,0.3030726,0.0,0,0,0,0,1,0,0,1,0,1,34
76989240,76986040,800000.0,1.0,0.04687765,23.55951,0.0,255,0,6,4,4,5,0,0,1,1,45
77428024,0,1200.0,0.402909,0.033947617,0.52518964,0.0,0,0,0,0,1,0,0,1,0,1,34
77992986,77990632,800000.0,1.0,0.046941977,23.573862,0.0,255,0,6,4,4,5,0,0,1,1,45
78428301,0,1200.0,0.402909,0.03367487,0.30307382,0.0,0,0,0,0,1,0,0,1,0,1,34
78992487,78989819,800000.0,1.0,0.04696154,23.603668,0.0,255,0,6,4,4,5,0,0,1,1,45
79433093,0,1200.0,0.402909,0.0336566,0.65333396,0.0,0,0,0,0,1,0,0,1,0,1,34
79984134,79983570,800000.0,1.0,0.04689921,23.834778,0.0,255,0,6,4,4,5,0,0,1,1,45
80439659,0,1200.0,0.402909,0.033759095,0.2869523,0.0,0,0,0,0,1,0,0,1,0,1,34
80989172,79983570,800000.0,1.0,0.046870682,23.6318,0.0,255,0,6,4,4,5,0,0,1,1,45
80996305,80995302,800000.0,1.0,0.046870682,23.6318,0.0,255,0,6,4,4,5,0,0,1,1,45
81443681,0,1200.0,0.402909,0.033838555,0.30454698,0.0,0,0,0,0,1,0,0,1,0,1,34
81997805,81996389,800000.0,1.0,0.046958253,23.479126,0.0,255,0,6,4,4,5,0,0,1,1,45
82453249,0,1200.0,0.402909,0.03385176,0.5237067,0.0,0,0,0,0,1,0,0,1,0,1,34
82990735,82985894,800000.0,1.0,0.0468294,23.619951,0.0,255,0,6,4,4,5,0,0,1,1,45
83464521,0,1200.0,0.402909,0.033675835,0.30308253,0.0,0,0,0,0,1,0,0,1,0,1,34
83989776,83985762,800000.0,1.0,0.046992995,23.571487,0.0,255,0,6,4,4,5,0,0,1,1,45
84466125,0,1200.0,0.402909,0.033999283,0.6599861,0.0,0,0,0,0,1,0,0,1,0,1,34
84990748,84987527,800000.0,1.0,0.046846293,23.545744,0.0,255,0,6,4,4,5,0,0,1,1,45
85467332,0,1200.0,0.402909,0.033902563,0.31010875,0.0,0,0,0,0,1,0,0,1,0,1,34
85992241,85990586,800000.0,1.0,0.046883773,23.5167,0.0,255,0,6,4,4,5,0,0,1,1,45
