timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
137887743,32767,32767,32767,32767,-73,-60,32767
137891743,32767,32767,32767,32767,32767,32767,32767
137895743,32767,32767,32767,32767,-52,32767,32767
137899753,32767,32767,32767,32767,32767,32767,32767
137903761,32767,32767,32767,32767,32767,32767,32767
137907743,32767,32767,32767,32767,32767,-46,32767
137911743,32767,32767,32767,32767,32767,32767,32767
137915799,32767,32767,32767,32767,-48,32767,32767
137919743,32767,32767,32767,32767,32767,32767,32767
137923777,32767,32767,32767,32767,32767,32767,32767
137927746,32767,32767,32767,32767,-68,32767,32767
137931743,32767,32767,32767,32767,32767,-68,32767
137935743,32767,32767,32767,32767,-47,32767,32767
137939745,32767,32767,32767,32767,32767,32767,32767
137943747,32767,32767,32767,32767,32767,32767,32767
137947743,32767,32767,32767,32767,32767,32767,32767
137951750,32767,32767,32767,32767,32767,-53,32767
137955747,32767,32767,32767,32767,-44,32767,32767
137959743,32767,32767,32767,32767,32767,32767,32767
137963743,32767,32767,32767,32767,32767,32767,32767
137967787,32767,32767,32767,32767,-61,32767,32767
137971752,32767,32767,32767,32767,32767,32767,32767
137975777,32767,32767,32767,32767,-41,-66,32767
137979743,32767,32767,32767,32767,32767,32767,32767
137983743,32767,32767,32767,32767,32767,32767,32767
137987762,32767,32767,32767,32767,32767,32767,32767
137991743,32767,32767,32767,32767,32767,32767,32767
137995746,32767,32767,32767,32767,-37,-53,32767
137999743,32767,32767,-52,32767,32767,32767,32767
138003753,32767,32767,32767,32767,32767,32767,32767
138008544,32767,32767,32767,32767,-65,32767,32767
138012543,32767,32767,32767,32767,32767,32767,32767
138016543,32767,32767,32767,32767,-44,-45,32767
138020543,32767,32767,32767,32767,32767,32767,32767
138024563,32767,32767,32767,32767,32767,32767,32767
138028543,32767,32767,32767,32767,32767,32767,32767
138032548,32767,32767,32767,32767,32767,32767,32767
138036543,32767,32767,32767,32767,-41,32767,32767
138040543,32767,32767,32767,32767,32767,-68,32767
138044543,32767,32767,32767,32767,32767,32767,32767
138048577,32767,32767,32767,32767,-60,32767,32767
138052543,32767,32767,32767,32767,32767,32767,32767
138056546,32767,32767,32767,32767,-37,32767,32767
138060543,32767,32767,32767,32767,32767,-53,32767
138064543,32767,32767,32767,32767,32767,32767,32767
138068588,32767,32767,32767,32767,32767,32767,32767
138072543,32767,32767,32767,32767,32767,32767,32767
138076550,32767,32767,32767,32767,-36,32767,32767
138080549,32767,32767,32767,32767,32767,32767,32767
138084543,32767,32767,32767,32767,32767,-77,32767
138088579,32767,32767,32767,32767,-55,32767,32767
138092543,32767,32767,32767,32767,32767,32767,32767
138096543,32767,32767,32767,32767,32767,32767,32767
138100577,32767,32767,32767,32767,-74,32767,32767
138104546,32767,32767,32767,32767,32767,-61,32767
138108558,32767,32767,32767,32767,32767,32767,32767
138112543,32767,32767,32767,32767,32767,32767,32767
138116543,32767,32767,32767,32767,32767,32767,32767
138120552,32767,32767,32767,32767,-72,32767,32767
138124543,32767,32767,32767,32767,32767,-46,32767
138128555,32767,32767,32767,32767,-52,32767,32767
138132543,32767,32767,32767,32767,32767,32767,32767
138136543,32767,32767,32767,32767,32767,32767,32767
138140543,32767,32767,32767,32767,-69,32767,32767
138144543,32767,32767,32767,32767,32767,32767,32767
138148543,32767,32767,32767,32767,32767,-69,32767
138152635,32767,32767,32767,32767,32767,32767,32767
138156543,32767,32767,32767,32767,32767,32767,32767
138160546,32767,32767,32767,32767,-68,32767,32767
138164543,32767,32767,32767,32767,32767,32767,32767
138168543,32767,32767,32767,32767,-47,-52,32767
138172569,32767,32767,32767,32767,32767,32767,32767
138176543,32767,32767,32767,32767,32767,32767,32767
138180553,32767,32767,32767,32767,-66,32767,32767
138184546,32767,32767,32767,32767,32767,32767,32767
138188543,32767,32767,32767,32767,32767,32767,32767
138192569,32767,32767,-46,32767,32767,-77,32767
138196543,32767,32767,32767,32767,32767,32767,32767
138200543,32767,32767,32767,32767,-65,32767,32767
138204578,32767,32767,32767,32767,32767,32767,32767
138208546,32767,32767,32767,32767,-44,32767,32767
138212543,32767,32767,32767,32767,32767,-52,32767
138216543,32767,32767,32767,32767,32767,32767,32767
138220543,32767,32767,32767,32767,-61,32767,32767
138224550,32767,32767,32767,32767,32767,32767,32767
138228546,32767,32767,32767,32767,32767,32767,32767
138232545,32767,32767,32767,32767,32767,32767,32767
138236591,32767,32767,32767,32767,32767,-76,32767
138240543,32767,32767,32767,32767,-60,32767,32767
138244543,32767,32767,32767,32767,32767,32767,32767
138248543,32767,32767,32767,32767,-37,32767,32767
138252543,32767,32767,32767,32767,32767,32767,32767
138256624,32767,32767,32767,32767,32767,-62,32767
138260543,32767,32767,32767,32767,-57,32767,32767
138264543,32767,32767,32767,32767,32767,32767,32767
138268543,32767,32767,32767,32767,32767,32767,32767
138272543,32767,32767,32767,32767,32767,32767,32767
138276543,32767,32767,32767,32767,32767,-47,32767
138280543,32767,32767,32767,32767,-53,32767,32767
138284553,32767,32767,32767,32767,32767,32767,32767
138288543,32767,32767,32767,32767,32767,32767,32767
138292543,32767,32767,32767,32767,-73,32767,32767
138296543,32767,32767,32767,32767,32767,32767,32767
138300543,32767,32767,32767,32767,-52,-68,32767
138304552,32767,32767,32767,32767,32767,32767,32767
138308654,32767,32767,32767,32767,32767,32767,32767
138312543,32767,32767,32767,32767,32767,32767,32767
138316543,32767,32767,32767,32767,32767,32767,32767
138320588,32767,32767,32767,32767,-47,-52,32767
138324543,32767,32767,32767,32767,32767,32767,32767
138328546,32767,32767,32767,32767,32767,32767,32767
138332543,32767,32767,32767,32767,-67,32767,32767
138336550,32767,32767,32767,32767,32767,32767,32767
138340579,32767,32767,32767,32767,-46,32767,32767
138344543,32767,32767,32767,32767,32767,-74,32767
138348543,32767,32767,32767,32767,32767,32767,32767
138352552,32767,32767,32767,32767,32767,32767,32767
138356543,32767,32767,32767,32767,32767,32767,32767
138360577,32767,32767,32767,32767,-45,32767,32767
138364543,32767,32767,32767,32767,32767,-61,32767
138368543,32767,32767,32767,32767,32767,32767,32767
138372543,32767,32767,32767,32767,-64,32767,32767
138376546,32767,32767,32767,32767,32767,32767,32767
138380543,32767,32767,32767,32767,-43,32767,32767
138384543,32767,32767,32767,32767,32767,-47,32767
138388553,32767,32767,32767,32767,32767,32767,32767
138392543,32767,32767,32767,32767,32767,32767,32767
138396543,32767,32767,32767,32767,32767,32767,32767
138400547,32767,32767,-99,32767,-41,32767,32767
138404588,32767,32767,32767,32767,32767,32767,32767
138408543,32767,32767,32767,32767,32767,-68,32767
138412592,32767,32767,32767,32767,-60,32767,32767
138416543,32767,32767,32767,32767,32767,32767,32767
138420543,32767,32767,32767,32767,-37,32767,32767
138424575,32767,32767,32767,32767,32767,32767,32767
138428543,32767,32767,32767,32767,32767,-53,32767
138432543,32767,32767,32767,32767,32767,32767,32767
138436543,32767,32767,32767,32767,32767,32767,32767
138440558,32767,32767,32767,32767,-36,32767,32767
138444543,32767,32767,32767,32767,32767,32767,32767
138448546,32767,32767,32767,32767,32767,32767,32767
138452543,32767,32767,32767,32767,-53,-67,32767
138456543,32767,32767,32767,32767,32767,32767,32767
138460543,32767,32767,32767,32767,32767,32767,32767
138464577,32767,32767,32767,32767,-72,32767,32767
138468543,32767,32767,32767,32767,32767,32767,32767
138472543,32767,32767,32767,32767,32767,-53,32767
138476543,32767,32767,32767,32767,32767,32767,32767
138480543,32767,32767,32767,32767,32767,32767,32767
138484543,32767,32767,32767,32767,-69,32767,32767
138488592,32767,32767,32767,32767,32767,32767,32767
138492546,32767,32767,32767,32767,-48,32767,32767
138496543,32767,32767,32767,32767,32767,-76,32767
138500554,32767,32767,32767,32767,32767,32767,32767
138504543,32767,32767,32767,32767,-67,32767,32767
138508569,32767,32767,32767,32767,32767,32767,32767
138512545,32767,32767,32767,32767,32767,32767,32767
138516577,32767,32767,32767,32767,32767,-61,32767
138520546,32767,32767,32767,32767,32767,32767,32767
138524543,32767,32767,32767,32767,-66,32767,32767
138528543,32767,32767,32767,32767,32767,32767,32767
138532543,32767,32767,32767,32767,-46,32767,32767
138536543,32767,32767,32767,32767,32767,-47,32767
138540543,32767,32767,32767,32767,32767,32767,32767
138544559,32767,32767,32767,32767,-65,32767,32767
138549343,32767,32767,32767,32767,32767,32767,32767
138553343,32767,32767,32767,32767,32767,32767,32767
138557352,32767,32767,32767,32767,32767,32767,32767
138561351,32767,32767,32767,32767,32767,-76,32767
138565392,32767,32767,32767,32767,-68,32767,32767
138569343,32767,32767,32767,32767,32767,32767,32767
138573343,32767,32767,32767,32767,-45,32767,32767
138577347,32767,32767,32767,32767,32767,32767,32767
138581346,32767,32767,32767,32767,32767,-60,32767
138585387,32767,32767,32767,32767,-64,32767,32767
138589427,32767,32767,32767,32767,32767,32767,32767
138593358,32767,32767,32767,32767,32767,32767,32767
138597343,32767,32767,-107,32767,32767,32767,32767
138601355,32767,32767,32767,32767,32767,-45,32767
138605388,32767,32767,32767,32767,-61,32767,32767
138609407,32767,32767,32767,32767,32767,32767,32767
138613343,32767,32767,32767,32767,-40,32767,32767
138617375,32767,32767,32767,32767,32767,32767,32767
138621349,32767,32767,32767,32767,32767,32767,32767
138625383,32767,32767,32767,32767,-59,-69,32767
138629366,32767,32767,32767,32767,32767,32767,32767
138633343,32767,32767,32767,32767,32767,32767,32767
138637343,32767,32767,32767,32767,32767,32767,32767
